Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CarbonAndroidApp,,,,2021-11-02 13:46:44,2021-11-02 13:51:38,4m - 54.043s,FAILED
,,,,,,,
Test Cases/signin,,,,2021-11-02 13:46:45,2021-11-02 13:47:39,53.974s,PASSED
"startApplication(""C:\Users\user\Desktop\carbon\carbon_ng-v6.7.1_signed.apk"", true)",,,,2021-11-02 13:46:46,2021-11-02 13:47:19,33.336s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Skip""), 0)",,,,2021-11-02 13:47:19,2021-11-02 13:47:23,3.087s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign In""), 0)",,,,2021-11-02 13:47:23,2021-11-02 13:47:31,8.838s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Phone number""), ""08990001100"", 0)",,,,2021-11-02 13:47:31,2021-11-02 13:47:34,2.780s,PASSED
"tap(findTestObject(""Object Repository/android.widget.EditText - Enter PIN""), 0)",,,,2021-11-02 13:47:34,2021-11-02 13:47:35,0.883s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Enter PIN (1)""), ""1234"", 0)",,,,2021-11-02 13:47:35,2021-11-02 13:47:38,2.915s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign in (1)""), 0)",,,,2021-11-02 13:47:38,2021-11-02 13:47:39,0.980s,PASSED
,,,,,,,
Test Cases/airtimeRechareg,,,,2021-11-02 13:47:39,2021-11-02 13:48:56,1m - 17.416s,PASSED
"startApplication(""C:\Users\user\Desktop\carbon\carbon_ng-v6.7.1_signed.apk"", true)",,,,2021-11-02 13:47:40,2021-11-02 13:48:06,26.450s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Skip""), 0)",,,,2021-11-02 13:48:06,2021-11-02 13:48:10,3.651s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign In""), 0)",,,,2021-11-02 13:48:10,2021-11-02 13:48:19,8.993s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Phone number""), ""08990001100"", 0)",,,,2021-11-02 13:48:19,2021-11-02 13:48:22,2.647s,PASSED
"tap(findTestObject(""Object Repository/android.widget.EditText - Enter PIN""), 0)",,,,2021-11-02 13:48:22,2021-11-02 13:48:22,0.797s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Enter PIN (1)""), ""1234"", 0)",,,,2021-11-02 13:48:22,2021-11-02 13:48:25,2.870s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign in (1)""), 0)",,,,2021-11-02 13:48:25,2021-11-02 13:48:26,0.925s,PASSED
pressBack(),,,,2021-11-02 13:48:26,2021-11-02 13:48:28,1.402s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView""), 0)",,,,2021-11-02 13:48:28,2021-11-02 13:48:36,8.358s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - e.g 08031234567""), ""08990001100"", 0)",,,,2021-11-02 13:48:36,2021-11-02 13:48:43,7.431s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - 1000""), 0)",,,,2021-11-02 13:48:43,2021-11-02 13:48:46,2.878s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (1)""), 0)",,,,2021-11-02 13:48:46,2021-11-02 13:48:48,2.270s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Next""), 0)",,,,2021-11-02 13:48:48,2021-11-02 13:48:49,0.772s,PASSED
"tap(findTestObject(""Object Repository/android.widget.RadioButton (1)""), 0)",,,,2021-11-02 13:48:49,2021-11-02 13:48:53,4.051s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Confirm payment""), 0)",,,,2021-11-02 13:48:53,2021-11-02 13:48:56,2.472s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Securely pay  1,010.00""), 0)",,,,2021-11-02 13:48:56,2021-11-02 13:48:56,0.643s,PASSED
,,,,,,,
Test Cases/fundWallet,,,,2021-11-02 13:48:56,2021-11-02 13:49:58,1m - 1.495s,FAILED
"startApplication(""C:\Users\user\Desktop\carbon\carbon_ng-v6.7.1_signed.apk"", true)",,,,2021-11-02 13:48:57,2021-11-02 13:49:25,27.921s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Skip (3)""), 0)",,,,2021-11-02 13:49:25,2021-11-02 13:49:29,3.576s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign In (6)""), 0)",,,,2021-11-02 13:49:29,2021-11-02 13:49:37,8.921s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Phone number (3)""), ""08990001100"", 0)",,,,2021-11-02 13:49:37,2021-11-02 13:49:40,2.845s,PASSED
"tap(findTestObject(""Object Repository/android.widget.EditText - Enter PIN (6)""), 0)",,,,2021-11-02 13:49:40,2021-11-02 13:49:42,1.567s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Enter PIN (7)""), ""1234"", 0)",,,,2021-11-02 13:49:42,2021-11-02 13:49:44,2.249s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign in (7)""), 0)",,,,2021-11-02 13:49:44,2021-11-02 13:49:46,1.963s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Fund Wallet""), 0)",,,,2021-11-02 13:49:46,2021-11-02 13:49:58,11.797s,FAILED
,,,,,,,
Test Cases/transactionfilter,,,,2021-11-02 13:49:58,2021-11-02 13:51:38,1m - 39.622s,FAILED
"startApplication(""C:\Users\user\Desktop\carbon\carbon_ng-v6.7.1_signed.apk"", true)",,,,2021-11-02 13:49:58,2021-11-02 13:50:25,26.888s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Skip (4)""), 0)",,,,2021-11-02 13:50:25,2021-11-02 13:50:30,5.103s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign In (8)""), 0)",,,,2021-11-02 13:50:30,2021-11-02 13:50:40,9.384s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Phone number (4)""), ""08990001100"", 0)",,,,2021-11-02 13:50:40,2021-11-02 13:50:43,2.661s,PASSED
"tap(findTestObject(""Object Repository/android.widget.EditText - Enter PIN (8)""), 0)",,,,2021-11-02 13:50:43,2021-11-02 13:50:43,0.881s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Enter PIN (9)""), ""1234"", 0)",,,,2021-11-02 13:50:43,2021-11-02 13:50:46,2.197s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign in (9)""), 0)",,,,2021-11-02 13:50:46,2021-11-02 13:50:46,0.887s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Transactions""), 0)",,,,2021-11-02 13:50:46,2021-11-02 13:50:56,9.997s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Spinner""), 0)",,,,2021-11-02 13:50:56,2021-11-02 13:51:02,5.480s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Wallet""), 0)",,,,2021-11-02 13:51:02,2021-11-02 13:51:04,2.320s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Carbon Wallet . 1157 AM""), 0)",,,,2021-11-02 13:51:04,2021-11-02 13:51:38,33.245s,FAILED
